rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
235;Matthew Carle;TBL;D;82;2;29;31;4;29;33;11;1;0;0;0;0
236;Jiri Tlusty;CAR;L;68;16;14;30;32;14;46;2;0;2;4;5;0
237;Dwight King;LAK;L;77;15;15;30;30;15;45;16;0;2;4;3;0
238;Charlie Coyle;MIN;C;70;12;18;30;24;18;42;-7;2;0;0;2;0
239;Marian Gaborik;CBJ, LAK;R;41;11;19;30;22;19;41;7;1;0;0;0;0
240;Tobias Enstrom;WPG;D;82;10;20;30;20;20;40;-9;4;0;0;3;0
241;Rich Peverley;DAL;C;62;7;23;30;14;23;37;-3;0;1;2;2;1
242;Hampus Lindholm;ANA;D;78;6;24;30;12;24;36;29;1;0;0;1;0
243;Daniel Winnik;ANA;C;76;6;24;30;12;24;36;6;0;2;4;2;0
244;Erik Cole;DAL;L;75;16;13;29;32;13;45;-17;3;0;0;4;0
245;Sean Bergenheim;FLA;L;62;16;13;29;32;13;45;-16;3;0;0;3;0
246;Boone Jenner;CBJ;C;72;16;13;29;32;13;45;6;4;0;0;5;0
247;Antoine Roussel;DAL;L;81;14;15;29;28;15;43;-1;0;0;0;2;0
248;Zack Kassian;VAN;R;73;14;15;29;28;15;43;-4;1;0;0;2;0
249;Tyler Toffoli;LAK;C;62;12;17;29;24;17;41;21;1;0;0;5;0
250;Saku Koivu;ANA;C;65;11;18;29;22;18;40;3;0;1;2;1;1
251;Patrick Maroon;ANA;L;62;11;18;29;22;18;40;11;1;0;0;3;0
252;Jacob Trouba;WPG;D;65;10;19;29;20;19;39;4;0;1;2;1;1
253;Olli Maatta;PIT;D;78;9;20;29;18;20;38;8;3;1;2;1;0
254;Kris Russell;CGY;D;68;7;22;29;14;22;36;-11;4;0;0;1;1
255;Eric Gelinas;NJD;D;60;7;22;29;14;22;36;-3;5;0;0;2;1
256;Martin Erat;WSH, PHX;R;70;3;26;29;6;26;32;5;0;0;0;0;0
257;Dany Heatley;MIN;L;76;12;16;28;24;16;40;-18;4;0;0;2;0
258;Matt Cooke;MIN;L;82;10;18;28;20;18;38;8;0;1;2;3;0
259;Joe Colborne;CGY;C;80;10;18;28;20;18;38;-17;1;0;0;1;0
260;Justin Abdelkader;DET;L;70;10;18;28;20;18;38;2;1;0;0;3;0
261;Mike Santorelli;VAN;C;49;10;18;28;20;18;38;9;0;0;0;3;2
262;Jonathan Huberdeau;FLA;L;69;9;19;28;18;19;37;-5;2;0;0;1;0
263;Tomas Fleischmann;FLA;L;80;8;20;28;16;20;36;-18;2;0;0;1;0
264;Marcus Kruger;CHI;C;81;8;20;28;16;20;36;6;0;0;0;2;0
265;Andre Benoit;COL;D;79;7;21;28;14;21;35;2;1;0;0;2;1
266;Andrew MacDonald;NYI, PHI;D;82;4;24;28;8;24;32;-22;2;0;0;2;0
267;Tom Gilbert;FLA;D;73;3;25;28;6;25;31;-5;2;0;0;1;0
268;Dustin Brown;LAK;R;79;15;12;27;30;12;42;7;1;0;0;2;0
269;Devin Setoguchi;WPG;R;75;11;16;27;22;16;38;-7;2;0;0;3;0
270;Teemu Selanne;ANA;R;64;9;18;27;18;18;36;8;4;0;0;3;0
271;Maxime Talbot;PHI, COL;C;81;8;19;27;16;19;35;5;0;1;2;1;0
272;Jarret Stoll;LAK;C;78;8;19;27;16;19;35;9;1;0;0;0;0
273;Ryan Ellis;NSH;D;80;6;21;27;12;21;33;9;0;0;0;2;0
274;Morgan Rielly;TOR;D;73;2;25;27;4;25;29;-13;1;0;0;0;0
275;Chris Stewart;STL, BUF;R;63;15;11;26;30;11;41;0;3;0;0;3;0
276;Brock Nelson;NYI;C;72;14;12;26;28;12;40;-10;3;0;0;1;0
277;Ben Smith;CHI;R;75;14;12;26;28;12;40;3;1;0;0;2;0
278;Dainius Zubrus;NJD;R;82;13;13;26;26;13;39;1;0;0;0;1;0
279;Brandon Sutter;PIT;C;81;13;13;26;26;13;39;-9;2;3;6;1;0
280;Lars Eller;MTL;C;77;12;14;26;24;14;38;-15;2;1;2;3;0
281;Michael Grabner;NYI;R;64;12;14;26;24;14;38;-10;0;3;6;2;2
282;Gabriel Bourque;NSH;L;74;9;17;26;18;17;35;-5;0;0;0;1;0
283;Cory Conacher;OTT, BUF;C;79;7;19;26;14;19;33;1;1;0;0;2;1
284;Ryane Clowe;NJD;L;43;7;19;26;14;19;33;-10;3;0;0;1;0
285;Jared Spurgeon;MIN;D;67;5;21;26;10;21;31;15;2;0;0;1;0
286;Niklas Hjalmarsson;CHI;D;81;4;22;26;8;22;30;11;0;1;2;1;0
287;Fedor Tyutin;CBJ;D;69;4;22;26;8;22;30;6;1;0;0;0;0
